list_date,isbn13,rank,weeks_on_list,title,author,publisher,description,month
2022-12-04,9781984818546,7,4,NO PLAN B,Lee Child and Andrew Child,Delacorte,The 27th book in the Jack Reacher series. Reacher goes after a killer but is unaware of the bigger implications.,12
2022-12-04,9780385547345,8,28,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,12
2022-12-04,9781984818386,9,7,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.",12
2022-12-04,9780316499187,10,3,TRIPLE CROSS,James Patterson,"Little, Brown",Detective Alex Cross and the true-crime author Thomas Tull search for a serial killer known as the Family Man.,12
2022-12-04,9781538719824,11,6,LONG SHADOWS,David Baldacci,Grand Central,The seventh book in the Memory Man series. Decker works with a new partner to investigate a double homicide.,12
2022-12-04,9780063251922,12,5,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,12
2022-12-04,9780593492543,13,7,OUR MISSING HEARTS,Celeste Ng,Penguin Press,"Twelve-year-old Bird Gardner goes on a quest to find his mother, a Chinese American poet whose work he was taught to disavow.",12
2022-12-04,9780307268990,14,4,THE PASSENGER,Cormac McCarthy,Knopf,"The first of a two-volume story. Bobby Western discovers things have gone missing from a jet in an underwater crash site, including the 10th passenger.",12
2022-12-04,9780593321201,15,9,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.,12
2022-12-11,9781250272720,1,1,THE CHOICE,Nora Roberts,St. Martin's,The third book in the Dragon Heart Legacy series. Breen Siobhan Kelly confronts darkness during her first Christmas in both Talamh and Ireland.,12
2022-12-11,9781668002179,2,12,FAIRY TALE,Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,12
2022-12-11,9780385548922,3,6,THE BOYS FROM BILOXI,John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.",12
2022-12-11,9780385547345,4,29,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,12
2022-12-11,9781982177447,5,1,A CHRISTMAS MEMORY,Richard Paul Evans,Gallery,"In 1967, the joy of the holiday season seems out of reach to a boy whose brother died in the Vietnam War and father lost his job.",12
2022-12-11,9780593449554,6,10,DREAMLAND,Nicholas Sparks,Random House,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.,12
2022-12-11,9781984821836,7,1,THE WHITTIERS,Danielle Steel,Delacorte,"After tragedy strikes, six adult children return to the family home without their parents for the first time.",12
2022-12-11,9781984818386,8,8,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.",12
2022-12-11,9781668003053,9,4,GOING ROGUE,Janet Evanovich,Atria,The 29th book in the Stephanie Plum series. The man who abducted the office manager at Vinnie's Bail Bonds demands a mysterious coin in exchange for her.,12
2022-12-11,9780316499187,10,4,TRIPLE CROSS,James Patterson,"Little, Brown",Detective Alex Cross and the true-crime author Thomas Tull search for a serial killer known as the Family Man.,12
2022-12-11,9780316485654,11,3,DESERT STAR,Michael Connelly,"Little, Brown",Ballard and Bosch bury old resentments as they go after two killers.,12
2022-12-11,9780063251922,12,6,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,12
2022-12-11,9781984818546,13,5,NO PLAN B,Lee Child and Andrew Child,Delacorte,The 27th book in the Jack Reacher series. Reacher goes after a killer but is unaware of the bigger implications.,12
2022-12-11,9780593492543,14,8,OUR MISSING HEARTS,Celeste Ng,Penguin Press,"Twelve-year-old Bird Gardner goes on a quest to find his mother, a Chinese American poet whose work he was taught to disavow.",12
2022-12-11,9781538739723,15,8,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,12
2022-12-18,9781250145291,1,1,A WORLD OF CURIOSITIES,Louise Penny,Minotaur,"The 18th book in the Chief Inspector Gamache series. When an attic room that was sealed off 160 years ago is opened, an old enemy returns.",12
2022-12-18,9780385548922,2,7,THE BOYS FROM BILOXI,John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.",12
2022-12-18,9781668002179,3,13,FAIRY TALE,Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,12
2022-12-18,9780385547345,4,30,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,12
2022-12-18,9780316499187,5,5,TRIPLE CROSS,James Patterson,"Little, Brown",Detective Alex Cross and the true-crime author Thomas Tull search for a serial killer known as the Family Man.,12
2022-12-18,9780063251922,6,7,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,12
2022-12-18,9780593449554,7,11,DREAMLAND,Nicholas Sparks,Random House,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.,12
2022-12-18,9781984818386,8,9,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.",12
2022-12-18,9781250272720,9,2,THE CHOICE,Nora Roberts,St. Martin's,The third book in the Dragon Heart Legacy series. Breen Siobhan Kelly confronts darkness during her first Christmas in both Talamh and Ireland.,12
2022-12-18,9780316485654,10,4,DESERT STAR,Michael Connelly,"Little, Brown",Ballard and Bosch bury old resentments as they go after two killers.,12
2022-12-18,9780593321201,11,10,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.,12
2022-12-18,9781668003053,12,5,GOING ROGUE,Janet Evanovich,Atria,The 29th book in the Stephanie Plum series. The man who abducted the office manager at Vinnie's Bail Bonds demands a mysterious coin in exchange for her.,12
2022-12-18,9781984818546,13,6,NO PLAN B,Lee Child and Andrew Child,Delacorte,The 27th book in the Jack Reacher series. Reacher goes after a killer but is unaware of the bigger implications.,12
2022-12-18,9781984821836,14,2,THE WHITTIERS,Danielle Steel,Delacorte,"After tragedy strikes, six adult children return to the family home without their parents for the first time.",12
2022-12-18,9780593492543,15,9,OUR MISSING HEARTS,Celeste Ng,Penguin Press,"Twelve-year-old Bird Gardner goes on a quest to find his mother, a Chinese American poet whose work he was taught to disavow.",12
2022-12-25,9780385547345,1,31,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,12
2022-12-25,9780385548922,2,8,THE BOYS FROM BILOXI,John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.",12
2022-12-25,9781668002179,3,14,FAIRY TALE,Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,12
2022-12-25,9781250145291,4,2,A WORLD OF CURIOSITIES,Louise Penny,Minotaur,"The 18th book in the Chief Inspector Gamache series. When an attic room that was sealed off 160 years ago is opened, an old enemy returns.",12
2022-12-25,9780063251922,5,8,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,12
2022-12-25,9780593449554,6,12,DREAMLAND,Nicholas Sparks,Random House,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.,12
2022-12-25,9780316499187,7,6,TRIPLE CROSS,James Patterson,"Little, Brown",Detective Alex Cross and the true-crime author Thomas Tull search for a serial killer known as the Family Man.,12
2022-12-25,9780307269003,8,1,STELLA MARIS,Cormac McCarthy,Knopf,"A companion volume to McCarthy's recent novel ""The Passenger."" A doctoral candidate diagnosed with paranoid schizophrenia contemplates the nature of madness.",12
2022-12-25,9780593422755,9,1,TOM CLANCY: RED WINTER,Marc Cameron,Putnam,The 22nd book in the Jack Ryan series. Ryan goes behind the Berlin Wall in 1985 to investigate an East German defector.,12
2022-12-25,9781984818386,10,10,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.",12
2022-12-25,9780593321201,11,11,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.,12
2022-12-25,9780316485654,12,5,DESERT STAR,Michael Connelly,"Little, Brown",Ballard and Bosch bury old resentments as they go after two killers.,12
2022-12-25,9781984818546,13,7,NO PLAN B,Lee Child and Andrew Child,Delacorte,The 27th book in the Jack Reacher series. Reacher goes after a killer but is unaware of the bigger implications.,12
2022-12-25,9781668003053,14,6,GOING ROGUE,Janet Evanovich,Atria,The 29th book in the Stephanie Plum series. The man who abducted the office manager at Vinnie's Bail Bonds demands a mysterious coin in exchange for her.,12
2022-12-25,9781250272720,15,3,THE CHOICE,Nora Roberts,St. Martin's,The third book in the Dragon Heart Legacy series. Breen Siobhan Kelly confronts darkness during her first Christmas in both Talamh and Ireland.,12
2023-01-01,9780385547345,1,32,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,1
2023-01-01,9780385548922,2,9,THE BOYS FROM BILOXI,John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.",1
2023-01-01,9781668002179,3,15,FAIRY TALE,Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,1
2023-01-01,9780063251922,4,9,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,1
2023-01-01,9780593449554,5,13,DREAMLAND,Nicholas Sparks,Random House,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.,1
2023-01-01,9780316499187,6,7,TRIPLE CROSS,James Patterson,"Little, Brown",Detective Alex Cross and the true-crime author Thomas Tull search for a serial killer known as the Family Man.,1
2023-01-01,9781984818386,7,11,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.",1
2023-01-01,9781250145291,8,3,A WORLD OF CURIOSITIES,Louise Penny,Minotaur,"The 18th book in the Chief Inspector Gamache series. When an attic room that was sealed off 160 years ago is opened, an old enemy returns.",1
2023-01-01,9780593321201,9,12,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.,1
2023-01-01,9780593422755,10,2,TOM CLANCY: RED WINTER,Marc Cameron,Putnam,The 22nd book in the Jack Ryan series. Ryan goes behind the Berlin Wall in 1985 to investigate an East German defector.,1
2023-01-01,9780316485654,11,6,DESERT STAR,Michael Connelly,"Little, Brown",Ballard and Bosch bury old resentments as they go after two killers.,1
2023-01-01,9781668003053,12,7,GOING ROGUE,Janet Evanovich,Atria,The 29th book in the Stephanie Plum series. The man who abducted the office manager at Vinnie's Bail Bonds demands a mysterious coin in exchange for her.,1
2023-01-01,9781984818546,13,8,NO PLAN B,Lee Child and Andrew Child,Delacorte,The 27th book in the Jack Reacher series. Reacher goes after a killer but is unaware of the bigger implications.,1
2023-01-01,9780063021426,14,3,BABEL,R.F. Kuang,Harper Voyager,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China.",1
2023-01-01,9780525559474,15,95,THE MIDNIGHT LIBRARY,Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,1
2023-01-08,9780385547345,1,33,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,1
2023-01-08,9781668002179,2,16,FAIRY TALE,Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,1
2023-01-08,9780385548922,3,10,THE BOYS FROM BILOXI,John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.",1
2023-01-08,9780593449554,4,14,DREAMLAND,Nicholas Sparks,Random House,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.,1
2023-01-08,9780063251922,5,10,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,1
2023-01-08,9780316499187,6,8,TRIPLE CROSS,James Patterson,"Little, Brown",Detective Alex Cross and the true-crime author Thomas Tull search for a serial killer known as the Family Man.,1
2023-01-08,9781984818386,7,12,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.",1
2023-01-08,9780593422755,8,3,TOM CLANCY: RED WINTER,Marc Cameron,Putnam,The 22nd book in the Jack Ryan series. Ryan goes behind the Berlin Wall in 1985 to investigate an East German defector.,1
2023-01-08,9781250145291,9,4,A WORLD OF CURIOSITIES,Louise Penny,Minotaur,"The 18th book in the Chief Inspector Gamache series. When an attic room that was sealed off 160 years ago is opened, an old enemy returns.",1
2023-01-08,9780593321201,10,13,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.,1
2023-01-08,9780063294189,11,4,BABEL,R.F. Kuang,Harper Voyager,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China.",1
2023-01-08,9781984818546,12,9,NO PLAN B,Lee Child and Andrew Child,Delacorte,The 27th book in the Jack Reacher series. Reacher goes after a killer but is unaware of the bigger implications.,1
2023-01-08,9780525559474,13,96,THE MIDNIGHT LIBRARY,Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,1
2023-01-08,9781538739723,14,9,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,1
2023-01-08,9781668003053,15,8,GOING ROGUE,Janet Evanovich,Atria,The 29th book in the Stephanie Plum series. The man who abducted the office manager at Vinnie's Bail Bonds demands a mysterious coin in exchange for her.,1
2023-01-15,9780385547345,1,34,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,1
2023-01-15,9780063294189,2,5,BABEL,R.F. Kuang,Harper Voyager,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China.",1
2023-01-15,9781668002179,3,17,FAIRY TALE,Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,1
2023-01-15,9781984818386,4,13,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.",1
2023-01-15,9780593321201,5,14,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.,1
2023-01-15,9780063251922,6,11,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,1
2023-01-15,9780385548922,7,11,THE BOYS FROM BILOXI,John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.",1
2023-01-15,9781538739723,8,10,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,1
2023-01-15,9780593449554,9,15,DREAMLAND,Nicholas Sparks,Random House,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.,1
2023-01-15,9781250145291,10,5,A WORLD OF CURIOSITIES,Louise Penny,Minotaur,"The 18th book in the Chief Inspector Gamache series. When an attic room that was sealed off 160 years ago is opened, an old enemy returns.",1
2023-01-15,9780525559474,11,97,THE MIDNIGHT LIBRARY,Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,1
2023-01-15,9780316499187,12,9,TRIPLE CROSS,James Patterson,"Little, Brown",Detective Alex Cross and the true-crime author Thomas Tull search for a serial killer known as the Family Man.,1
2023-01-15,9780593320624,13,4,THE MARRIAGE PORTRAIT,Maggie O'Farrell,Knopf,"In 1550s Florence, the future of the third daughter of the grand duke seems uncertain after she is thrust into a marriage.",1
2023-01-15,9781668003053,14,9,GOING ROGUE,Janet Evanovich,Atria,The 29th book in the Stephanie Plum series. The man who abducted the office manager at Vinnie's Bail Bonds demands a mysterious coin in exchange for her.,1
2023-01-15,9780593422755,15,4,TOM CLANCY: RED WINTER,Marc Cameron,Putnam,The 22nd book in the Jack Ryan series. Ryan goes behind the Berlin Wall in 1985 to investigate an East German defector.,1
2023-01-22,9780385547345,1,35,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,1
2023-01-22,9780593186718,2,1,THE HOUSE IN THE PINES,Ana Reyes,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened.",1
2023-01-22,9781984821867,3,1,WITHOUT A TRACE,Danielle Steel,Delacorte,Charles Vincent meets someone who ignites his passion and must decide whether to walk away from his perfect-from-the-outside life.,1
2023-01-22,9780385548922,4,12,THE BOYS FROM BILOXI,John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.",1
2023-01-22,9780063251922,5,12,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,1
2023-01-22,9781668002179,6,18,FAIRY TALE,Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,1
2023-01-22,9780593321201,7,15,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.,1
2023-01-22,9781984818386,8,14,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.",1
2023-01-22,9780525559474,9,98,THE MIDNIGHT LIBRARY,Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,1
2023-01-22,9780063021426,10,6,BABEL,R.F. Kuang,Harper Voyager,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China.",1
2023-01-22,9780593328798,11,1,AGE OF VICE,Deepti Kapoor,Riverhead,"A servant, an heir and a journalist are caught up in a complicated series of events involving romance and corruption in India.",1
2023-01-22,9781250145291,12,6,A WORLD OF CURIOSITIES,Louise Penny,Minotaur,"The 18th book in the Chief Inspector Gamache series. When an attic room that was sealed off 160 years ago is opened, an old enemy returns.",1
2023-01-22,9781250280015,13,1,THE VILLA,Rachel Hawkins,St. Martin's,"Two women visit an Italian villa where events in the 1970s sparked a horror novel, a platinum album and a murder.",1
2023-01-22,9780063204157,14,2,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.,1
2023-01-22,9780593449554,15,16,DREAMLAND,Nicholas Sparks,Random House,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.,1
2023-01-29,9781250313102,1,1,HELL BENT,Leigh Bardugo,Flatiron,The second book in the Alex Stern series. Alex risks her future at Lethe and Yale to get Darlington out of purgatory.,1
2023-01-29,9780316404297,2,1,THE HOUSE OF WOLVES,James Patterson and Mike Lupica,"Little, Brown","After her father is murdered, Jenny Wolf becomes the head of a powerful family in California.",1
2023-01-29,9780385547345,3,36,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,1
2023-01-29,9780593321201,4,16,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.,1
2023-01-29,9780593186718,5,2,THE HOUSE IN THE PINES,Ana Reyes,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened.",1
2023-01-29,9780063251922,6,13,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,1
2023-01-29,9780385548922,7,13,THE BOYS FROM BILOXI,John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.",1
2023-01-29,9781668002179,8,19,FAIRY TALE,Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,1
2023-01-29,9781984821867,9,2,WITHOUT A TRACE,Danielle Steel,Delacorte,Charles Vincent meets someone who ignites his passion and must decide whether to walk away from his perfect-from-the-outside life.,1
2023-01-29,9781984818386,10,15,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.",1
2023-01-29,9780778333111,11,1,JUST THE NICEST COUPLE,Mary Kubica,Park Row,Nina Hayes searches for her missing husband while a couple close to her cover their tracks.,1
2023-01-29,9780525559474,12,99,THE MIDNIGHT LIBRARY,Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,1
2023-01-29,9780063021426,13,7,BABEL,R.F. Kuang,Harper Voyager,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China.",1
2023-01-29,9780399562969,14,8,HORSE,Geraldine Brooks,Viking,"The story of a racehorse, an enslaved groom and an itinerant painter reverberates in three different eras.",1
2023-01-29,9780593420317,15,1,TRUST,Hernan Diaz,Riverhead,Competing narratives about a wealthy New York couple have new revelations over the course of a century.,1
2023-02-05,9780385547345,1,37,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,2
2023-02-05,9781538736777,2,1,THE CABINET OF DR. LENG,Douglas Preston and Lincoln Child,Grand Central,The 21st book in the Pendergast series. Constance Greene travels back in time to prevent the deaths of her siblings.,2
2023-02-05,9780316404297,3,2,THE HOUSE OF WOLVES,James Patterson and Mike Lupica,"Little, Brown","After her father is murdered, Jenny Wolf becomes the head of a powerful family in California.",2
2023-02-05,9780593321201,4,17,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.,2
2023-02-05,9780593201268,5,1,HOW TO SELL A HAUNTED HOUSE,Grady Hendrix,Berkley,"After her parents die, Louise encounters more than she expected in dealing with the family home.",2
2023-02-05,9780593186718,6,3,THE HOUSE IN THE PINES,Ana Reyes,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened.",2
2023-02-05,9781250313102,7,2,HELL BENT,Leigh Bardugo,Flatiron,The second book in the Alex Stern series. Alex risks her future at Lethe and Yale to get Darlington out of purgatory.,2
2023-02-05,9780385548922,8,14,THE BOYS FROM BILOXI,John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.",2
2023-02-05,9780063251922,9,14,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,2
2023-02-05,9781668002179,10,20,FAIRY TALE,Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,2
2023-02-05,9781984818386,11,16,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.",2
2023-02-05,9780593535608,12,1,THE SHARDS,Bret Easton Ellis,Knopf,"In Los Angeles in 1981, a prep school senior becomes obsessed with a new student at the same time he and his circle of friends are taunted by a serial killer.",2
2023-02-05,9781984821867,13,3,WITHOUT A TRACE,Danielle Steel,Delacorte,Charles Vincent meets someone who ignites his passion and must decide whether to walk away from his perfect-from-the-outside life.,2
2023-02-05,9781501171345,14,64,THE LAST THING HE TOLD ME,Laura Dave,Simon & Schuster,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.,2
2023-02-05,9780525559474,15,100,THE MIDNIGHT LIBRARY,Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,2
2023-02-12,9780385547345,1,38,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,2
2023-02-12,9780593321201,2,18,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.,2
2023-02-12,9780593186718,3,4,THE HOUSE IN THE PINES,Ana Reyes,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened.",2
2023-02-12,9780316404297,4,3,THE HOUSE OF WOLVES,James Patterson and Mike Lupica,"Little, Brown","After her father is murdered, Jenny Wolf becomes the head of a powerful family in California.",2
2023-02-12,9780063251922,5,15,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,2
2023-02-12,9780593201268,6,2,HOW TO SELL A HAUNTED HOUSE,Grady Hendrix,Berkley,"After her parents die, Louise encounters more than she expected in dealing with the family home.",2
2023-02-12,9780385548922,7,15,THE BOYS FROM BILOXI,John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.",2
2023-02-12,9781668002179,8,21,FAIRY TALE,Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,2
2023-02-12,9781250313102,9,3,HELL BENT,Leigh Bardugo,Flatiron,The second book in the Alex Stern series. Alex risks her future at Lethe and Yale to get Darlington out of purgatory.,2
2023-02-12,9781538736777,10,2,THE CABINET OF DR. LENG,Douglas Preston and Lincoln Child,Grand Central,The 21st book in the Pendergast series. Constance Greene travels back in time to prevent the deaths of her siblings.,2
2023-02-12,9781984818386,11,17,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.",2
2023-02-12,9780063204157,12,3,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.,2
2023-02-12,9780525559474,13,101,THE MIDNIGHT LIBRARY,Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,2
2023-02-12,9780399562969,14,9,HORSE,Geraldine Brooks,Viking,"The story of a racehorse, an enslaved groom and an itinerant painter reverberates in three different eras.",2
2023-02-12,9781501171345,15,65,THE LAST THING HE TOLD ME,Laura Dave,Simon & Schuster,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.,2
2023-02-19,9780385547345,1,39,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,2
