list_date,isbn13,rank,weeks_on_list,title,author,publisher,description,month
2018-08-19,9780316375269,8,7,THE PERFECT COUPLE,Elin Hilderbrand,"Little, Brown",A body is found in Nantucket Harbor hours before a picture-perfect wedding.,8
2018-08-19,9780399178924,9,6,ALL WE EVER WANTED,Emily Giffin,Ballantine,A scandal sends members of two Nashville families into chaos.,8
2018-08-19,9780425284681,10,46,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,8
2018-08-19,9781476789415,11,5,SPYMASTER,Brad Thor,Emily Bestler/Atria,The 18th book in the Scot Harvath series.,8
2018-08-19,9780062678416,12,27,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,8
2018-08-19,9781476778440,13,9,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,Simon & Schuster,Emily Charlton plans a comeback from the suburbs.,8
2018-08-19,9780735224292,14,44,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,8
2018-08-19,9780525520375,15,9,THERE THERE,Tommy Orange,Knopf,A multigenerational story exploring the plight of the urban Native American.,8
2018-08-26,9781455572168,1,1,TAILSPIN,Sandra Brown,Grand Central,A pilot navigates treacherous situations when he attempts to deliver a mysterious black box to a doctor in Georgia.,8
2018-08-26,9780316412698,2,10,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.,8
2018-08-26,9780425255681,3,1,SERPENTINE,Laurell K. Hamilton,Berkley,The vampire hunter Anita Blake goes to a Florida island where members of a family turn into a mass of snakes.,8
2018-08-26,9781501180989,4,12,THE OUTSIDER,Stephen King,Scribner,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,8
2018-08-26,9780062834829,5,4,THE OTHER WOMAN,Daniel Silva,Harper,"Gabriel Allon, the art restorer and assassin, fights the Russians to decide the fate of postwar global order.",8
2018-08-26,9780525557623,6,1,AN UNWANTED GUEST,Shari Lapena,Pamela Dorman,A Catskills lodge loses electricity during a blizzard and its guests start mysteriously dropping dead.,8
2018-08-26,9780525655527,7,5,CLOCK DANCE,Anne Tyler,Knopf,A window into Willa Drake’s life over 50 years and how she adjusts to some of life's surprises.,8
2018-08-26,9781501138126,8,2,PARADOX,Catherine Coulter,Gallery,"In the 22nd book in the F.B.I. Thriller series, agents Sherlock and Savich look for an escaped psychopath.",8
2018-08-26,9780735218598,9,1,THE MONEY SHOT,Stuart Woods and Parnell Hall,Putnam,"A movie star is blackmailed and Teddy Fay, disguised as an actor and stuntman, investigates.",8
2018-08-26,9780399181252,10,4,COTTAGE BY THE SEA,Debbie Macomber,Ballantine,Annie Marlow forms new relationships in the Pacific Northwest as she tries to recover from tragedy.,8
2018-08-26,9780316375269,11,8,THE PERFECT COUPLE,Elin Hilderbrand,"Little, Brown",A body is found in Nantucket Harbor hours before a picture-perfect wedding.,8
2018-08-26,9780425284681,12,47,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,8
2018-08-26,9780399178924,13,7,ALL WE EVER WANTED,Emily Giffin,Ballantine,A scandal sends members of two Nashville families into chaos.,8
2018-08-26,9781476778440,14,10,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,Simon & Schuster,Emily Charlton plans a comeback from the suburbs.,8
2018-08-26,9781476789415,15,6,SPYMASTER,Brad Thor,Emily Bestler/Atria,The 18th book in the Scot Harvath series.,8
2018-09-02,9780316556668,1,1,TEXAS RANGER,James Patterson and Andrew Bourelle,"Little, Brown",Rory Yates's job and reputation are at risk when he is accused of killing his ex-wife.,9
2018-09-02,9780316412698,2,11,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.,9
2018-09-02,9781455572168,3,2,TAILSPIN,Sandra Brown,Grand Central,A pilot navigates treacherous situations when he attempts to deliver a mysterious black box to a doctor in Georgia.,9
2018-09-02,9781501180989,4,13,THE OUTSIDER,Stephen King,Scribner,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,9
2018-09-02,9781250099594,5,1,FEARED,Lisa Scottoline,St. Martin's,Mary DiNunzio and Bennie Rosato must solve a murder and handle a reverse sex discrimination suit against their firm.,9
2018-09-02,9780062834829,6,5,THE OTHER WOMAN,Daniel Silva,Harper,"Gabriel Allon, the art restorer and assassin, fights the Russians to decide the fate of postwar global order.",9
2018-09-02,9780425284681,7,48,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,9
2018-09-02,9780735224292,8,45,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,9
2018-09-02,9780399181252,9,5,COTTAGE BY THE SEA,Debbie Macomber,Ballantine,Annie Marlow forms new relationships in the Pacific Northwest as she tries to recover from tragedy.,9
2018-09-02,9781501138126,10,3,PARADOX,Catherine Coulter,Gallery,"In the 22nd book in the F.B.I. Thriller series, agents Sherlock and Savich look for an escaped psychopath.",9
2018-09-02,9780399178924,11,8,ALL WE EVER WANTED,Emily Giffin,Ballantine,A scandal sends members of two Nashville families into chaos.,9
2018-09-02,9780062678416,12,28,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,9
2018-09-02,9781476778440,13,11,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,Simon & Schuster,Emily Charlton plans a comeback from the suburbs.,9
2018-09-02,9780525520139,14,1,CHERRY,Nico Walker,Knopf,An Iraq veteran and his girlfriend consider taking desperate measures after getting addicted to opioids.,9
2018-09-02,9780316375269,15,9,THE PERFECT COUPLE,Elin Hilderbrand,"Little, Brown",A body is found in Nantucket Harbor hours before a picture-perfect wedding.,9
2018-09-09,9780316556668,1,2,TEXAS RANGER,James Patterson and Andrew Bourelle,"Little, Brown",Rory Yates's job and reputation are at risk when he is accused of killing his ex-wife.,9
2018-09-09,9780316412698,2,12,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.,9
2018-09-09,9780062430274,3,1,PIECES OF HER,Karin Slaughter,Morrow,"When a violent incident reveals her mother’s secret past, Andrea Oliver searches for clues to save her.",9
2018-09-09,9781455572168,4,3,TAILSPIN,Sandra Brown,Grand Central,A pilot navigates treacherous situations when he attempts to deliver a mysterious black box to a doctor in Georgia.,9
2018-09-09,9781501180989,5,14,THE OUTSIDER,Stephen King,Scribner,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.,9
2018-09-09,9781501147463,6,1,DESOLATION MOUNTAIN,William Kent Krueger,Atria,An independent investigation into a deadly plane crash in a remote part of a Native American reservation faces a menace.,9
2018-09-09,9780425284681,7,49,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,9
2018-09-09,9780062834829,8,6,THE OTHER WOMAN,Daniel Silva,Harper,"Gabriel Allon, the art restorer and assassin, fights the Russians to decide the fate of postwar global order.",9
2018-09-09,9780735224292,9,46,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,9
2018-09-09,9780670026197,10,59,A GENTLEMAN IN MOSCOW,Amor Towles,Viking,A Russian count undergoes 30 years of house arrest.,9
2018-09-09,9780062678416,11,29,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,9
2018-09-09,9781250099594,12,2,FEARED,Lisa Scottoline,St. Martin's,Mary DiNunzio and Bennie Rosato must solve a murder and handle a reverse sex discrimination suit against their firm.,9
2018-09-09,9780399181252,13,6,COTTAGE BY THE SEA,Debbie Macomber,Ballantine,Annie Marlow forms new relationships in the Pacific Northwest as she tries to recover from tragedy.,9
2018-09-09,9781501138126,14,4,PARADOX,Catherine Coulter,Gallery,"In the 22nd book in the F.B.I. Thriller series, agents Sherlock and Savich look for an escaped psychopath.",9
2018-09-09,9780312577230,15,20,THE GREAT ALONE,Kristin Hannah,St. Martin's,A former prisoner of war moves his family to Alaska.,9
2018-09-16,9781328613042,1,1,THE FALL OF GONDOLIN,J.R.R. Tolkien,Houghton Mifflin Harcourt,"Thousands of years before the events of “The Lord of the Rings,” a hero named Tuor visits a secret city. Edited by Christopher Tolkien.",9
2018-09-16,9780316556668,2,3,TEXAS RANGER,James Patterson and Andrew Bourelle,"Little, Brown",Rory Yates's job and reputation are at risk when he is accused of killing his ex-wife.,9
2018-09-16,9780316412698,3,13,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",President Jonathan Duncan takes on adversaries at home and abroad.,9
