list_date,isbn13,rank,weeks_on_list,isbn10,title,author,publisher,description,month,clean_description,dominant_topic,sentiment_compound
2018-08-19,9780062834829,4,3,,THE OTHER WOMAN,Daniel Silva,Harper,"Gabriel Allon, the art restorer and assassin, fights the Russians to decide the fate of postwar global order.",8,gabriel allon art restorer assassin fight russians decide fate postwar global order,12,-0.3818
2018-08-19,9780399181252,5,3,,COTTAGE BY THE SEA,Debbie Macomber,Ballantine,Annie Marlow forms new relationships in the Pacific Northwest as she tries to recover from tragedy.,8,annie marlow form new relationship pacific northwest try recover tragedy,13,-0.6597
2018-08-19,9780525480488,6,2,,THRAWN: ALLIANCES,Timothy Zahn,Del Rey,A Star Wars saga. Darth Vader and Grand Admiral Thrawn join forces to serve Emperor Palpatine.,8,star war saga darth vader grand admiral thrawn join force serve emperor palpatine,7,0.3818
2018-08-19,9780525655527,7,4,,CLOCK DANCE,Anne Tyler,Knopf,A window into Willa Drake’s life over 50 years and how she adjusts to some of life's surprises.,8,window willa drake life     year adjust life surprise,12,0.2732
2018-08-19,9780316375269,8,7,,THE PERFECT COUPLE,Elin Hilderbrand,"Little, Brown",A body is found in Nantucket Harbor hours before a picture-perfect wedding.,8,body find nantucket harbor hour picture perfect wedding,19,0.5719
2018-08-19,9780399178924,9,6,,ALL WE EVER WANTED,Emily Giffin,Ballantine,A scandal sends members of two Nashville families into chaos.,8,scandal send member nashville family chaos,18,-0.765
2018-08-19,9780425284681,10,46,,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,8,south carolina lawyer learn questionable practice tennessee orphanage,10,-0.296
2018-08-19,9781476789415,11,5,,SPYMASTER,Brad Thor,Emily Bestler/Atria,The 18th book in the Scot Harvath series.,8,book scot harvath series,19,0.0
2018-08-19,9780062678416,12,27,,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,8,recluse drink heavily take prescription drug witness crime harlem townhouse,8,-0.5423
2018-08-19,9781476778440,13,9,,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,Simon & Schuster,Emily Charlton plans a comeback from the suburbs.,8,emily charlton plan comeback suburb,17,0.0
