isbn13,isbn10,title,author,publisher,description
9781538774205,,QUICKSILVER,Callie Hart,Forever,"Saeris is transported to a dangerous land of ice and snow, where she must contend with a Fae warrior who has suspect agendas."
9780593158715,,ATMOSPHERE,Taylor Jenkins Reid,Ballantine,"In the summer of 1980, Joan Goodwin begins training with a group of candidates for NASA’s space shuttle program."
9781982112820,,MY FRIENDS,Fredrik Backman,Atria,A young woman looks into the story behind a painting that was made 25 years ago and a small group of teens depicted in it; translated by Neil Smith.
9781668078181,,BROKEN COUNTRY,Clare Leslie Hall,Simon & Schuster,Beth must confront her past when the man she once loved as a teenager returns to the village with his son.
9781649377159,,ONYX STORM,Rebecca Yarros,Red Tower,"The third book in the Empyrean series. As enemies gain traction, Violet Sorrengail goes beyond the Aretian wards in search of allies."
9780008759827,,THE PUMPKIN SPICE CAFÉ,Laurie Gilmore,HarperCollins,Jeanie takes over her aunt’s café in Dream Harbor and encounters a local farmer.
9780778306269,,ON WINGS OF BLOOD,Briar Boleyn,MIRA,A dragon rider named Medra Pendragon is captured by vampires and placed inside the dangerous Bloodwing Academy.
9781668089330,,NEVER FLINCH,Stephen King,Scribner,Holly Gibney does double duty by helping head off acts of retribution and protecting a women’s rights activist.
9780593441299,,GREAT BIG BEAUTIFUL LIFE,Emily Henry,Berkley,A writer looking for her big break competes against a Pulitzer winner to tell the story of an octogenarian with a storied past.
9781250887979,,FORGET ME NOT,Stacy Willingham,Minotaur,"An investigative journalist returns to South Carolina, where she comes across a diary that appears to have details related to unsolved crimes."
9781250899576,,THE WEDDING PEOPLE,Alison Espach,Holt,A woman who is down on her luck forms an unexpected bond with the bride at a wedding in Rhode Island.
9780593820247,,DUNGEON CRAWLER CARL,Matt Dinniman,Ace,"A Coast Guard vet named Carl and his ex-girlfriend’s cat, Princess Donut, are trapped in a fantasy dungeon."
9780385550369,,JAMES,Percival Everett,Doubleday,"A reimagining of “Adventures of Huckleberry Finn” shines a different light on Mark Twain's classic, revealing new facets of the character of Jim."
9781538748367,,I WILL FIND YOU,Harlan Coben,Grand Central,A man imprisoned for murdering his 3-year-old son becomes convinced his son is still alive and plans an escape.
9780593243732,,HELLO BEAUTIFUL,Ann Napolitano,Dial,"In a homage to Louisa May Alcott’s “Little Women,” a young man’s dark past resurfaces as he gets to know the family of his college sweetheart."
9780385547345,,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.
9780593321201,,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.
9780593331309,,STORM WATCH,C.J. Box,Putnam,The 23rd book in the Joe Pickett series. Joe and Nate might be on opposite sides for the first time.
9780593490693,,PINEAPPLE STREET,Jenny Jackson,Pamela Dorman,Three women navigate their roles in a well-to-do family living in Brooklyn Heights.
9781984821805,,WORTHY OPPONENTS,Danielle Steel,Delacorte,A divorced mother of twins and chief executive of a luxury department store goes against a wealthy investor looking to take it over.
9780063251922,,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.
9781984879295,,SOMEONE ELSE'S SHOES,Jojo Moyes,Pamela Dorman,Drastic changes and a pair of six-inch high Christian Louboutin red crocodile shoes shake up the lives of two women.
9780593490143,,I HAVE SOME QUESTIONS FOR YOU,Rebecca Makkai,Viking,A film professor and podcaster is invited back to teach a course at the boarding school where her roommate was murdered.
9780063204157,,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.
9781635577921,,A DAY OF FALLEN NIGHT,Samantha Shannon,Bloomsbury,"A prequel to “The Priory of the Orange Tree.” When the Dreadmount erupts, several women must protect humankind."
9780802162366,,SO SHALL YOU REAP,Donna Leon,Atlantic Monthly,The 32nd book in the Commissario Brunetti series. Brunetti looks into the murder of an undocumented Sri Lankan immigrant.
9781984818386,,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush."
9780778387114,,THE LONDON SÉANCE SOCIETY,Sarah Penner,Park Row,"In 1873, a woman seeking answers about her sister’s death accompanies a spiritualist to look into a murder."
9780062834843,,THE ORDER,Daniel Silva,Harper,The 20th book in the Gabriel Allon series. The art restorer and spy cuts his family’s vacation short to investigate whether Pope Paul VII was murdered.
9780451464415,,PEACE TALKS,Jim Butcher,Ace,The 16th book in the Dresden Files series. Chicago's only professional wizard tries to keep the peace during a summit of the Supernatural nations of the world.
9780735219090,,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
9780525536291,,THE VANISHING HALF,Brit Bennett,Riverhead,The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.
9780316420044,,28 SUMMERS,Elin Hilderbrand,"Little, Brown",A relationship that started in 1993 between Mallory Blessing and Jake McCloud comes to light while she is on her deathbed and his wife runs for president.
9780385546270,,SEX AND VANITY,Kevin Kwan,Doubleday,A nod to “A Room With a View” in which Lucie Tang Churchill is torn between her WASPy billionaire fiancé and a privileged hunk born in Hong Kong.
9780062868930,,THE GUEST LIST,Lucy Foley,Morrow,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.
9780385545938,,CAMINO WINDS,John Grisham,Doubleday,The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.
9780812997439,,UTOPIA AVENUE,David Mitchell,Random House,The glories and misadventures of a 1960s British band told from several perspectives with cameos by real-life musicians.
9780399181368,,A WALK ALONG THE BEACH,Debbie Macomber,Ballantine,"After dealing with loss and setbacks, two sisters take risks on dreams and love."
9781982137977,,IF IT BLEEDS,Stephen King,Scribner,"Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”"
9781250209764,,AMERICAN DIRT,Jeanine Cummins,Flatiron,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.
9780316539555,,THE SUMMER HOUSE,James Patterson and Brendan DuBois,"Little, Brown","Jeremiah Cook, a veteran and former N.Y.P.D. cop, investigates a mass murder near a lake in Georgia."
9780525620785,,MEXICAN GOTHIC,Silvia Moreno-Garcia,Del Rey,"In 1950s Mexico, a debutante travels to a distant mansion where family secrets of a faded mining empire have been kept hidden."
9781501133510,,BIG SUMMER,Jennifer Weiner,Atria,Daphne Berg’s former best friend asks her to be the maid of honor at her wedding in Cape Cod.
9781538719671,,A GAMBLING MAN,David Baldacci,Grand Central,"Aloysius Archer, a World War II veteran, seeks to apprentice with Willie Dash, a private eye, in a corrupt California town."
9780593465271,,THE HILL WE CLIMB,Amanda Gorman,Viking,"The poem read on President Joe Biden's Inauguration Day, by the youngest poet to write and perform an inaugural poem."
9780593087022,,OCEAN PREY,John Sandford,Putnam,"The 31st book in the Prey series. When federal officers are killed, Lucas Davenport and Virgil Flowers team up to investigate matters."
9781250178602,,THE FOUR WINDS,Kristin Hannah,St. Martin's,"As dust storms roll during the Great Depression, Elsa must choose between saving the family and farm or heading West."
9780525559474,,THE MIDNIGHT LIBRARY,Matt Haig,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.
9780765387561,,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,Tor/Forge,A Faustian bargain comes with a curse that affects the adventure Addie LaRue has across centuries.
9780593318171,,KLARA AND THE SUN,Kazuo Ishiguro,Knopf,An “Artificial Friend” named Klara is purchased to serve as a companion to an ailing 14-year-old girl.
